@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
33,'2023/12/10 17:52:35:608',2,0.346141,-0.56354,0.023317,-0.358699,-0.118667,0.035005,-0.602947,-0.303759,0.12666,0.415778,1.416748,0.018022,-0.726929,0.403395,-0.550081,-0.086514,-0.370433,0.631533,-0.870328,0.271863,-0.040157,0.027712,0.354472,-0.54801,0.325902,0.304032,-0.007208,-1.031483,0.383725,0.098315,0.095708,0.032657,0,0.46,0.44,0,0,0.46,0.46,0.68
34,'2023/12/10 17:52:35:709',2,0.494879,-0.606811,0.014347,-0.479663,-0.14396,0.16315,-0.459661,-0.384821,0.486018,0.330623,1.296427,-0.001493,-0.698308,0.224464,-0.586536,0.169657,-0.331667,0.590031,-0.970751,0.172946,-0.03038,0.005903,0.358549,-0.579734,0.313549,0.332725,0.370647,-1.240676,0.163392,0.120766,0.197063,-0.030565,0,0.46,0.44,0,0,0.46,0.46,0.68
35,'2023/12/10 17:52:35:809',2,0.585398,-0.518918,0.153818,-0.431248,-0.007178,0.149986,-0.377528,-0.554348,0.58921,0.221874,1.215461,0.123273,-0.735978,0.007188,-0.627607,0.254359,-0.37909,0.51976,-0.872208,0.196959,-0.056152,-0.122605,0.142203,-0.599974,0.336952,0.353668,0.025442,-1.159457,0.177828,0.093588,0.007153,0.047255,0,0.46,0.44,0,0,0.46,0.46,0.68
36,'2023/12/10 17:52:37:612',2,0.359218,-0.070415,0.157655,0.83476,-0.021996,0.14639,0.332828,0.30059,0.070241,0.213825,1.229972,-0.386291,-0.478107,-0.095938,-0.827705,-0.456634,-0.280502,-0.333529,-0.87791,-0.682947,-0.024116,0.006372,0.566651,-0.466546,0.62908,-0.277036,0.54729,0.109625,-0.28649,-0.513094,0.453576,-0.392786,0,0.46,0.44,0,0,0.46,0.46,0.68
37,'2023/12/10 17:52:37:713',2,0.350378,-0.044565,0.217091,1.020682,0.000122,0.193054,0.320923,0.336569,-0.053791,-0.006159,1.251919,-0.407481,-0.420744,-0.129802,-0.908346,-0.43439,-0.313717,-0.201767,-0.662815,-0.643087,-0.042591,0.063106,0.554488,-0.470526,0.736487,-0.203806,0.595726,0.160022,-0.326922,-0.436099,0.515043,-0.313968,0,0.46,0.44,0,0,0.46,0.46,0.68
38,'2023/12/10 17:52:37:813',2,0.362515,-0.132378,0.267147,1.062761,-0.095717,0.069565,0.341823,0.272488,-0.009134,-0.03533,1.162291,-0.457481,-0.407753,0.087251,-0.84576,-0.424072,-0.385232,-0.092427,-0.647705,-0.583615,-0.048271,0.10028,0.528974,-0.364227,0.754559,-0.418938,0.643417,0.157139,-0.065629,-0.436853,0.272596,-0.29975,0,0.46,0.44,0,0,0.46,0.46,0.68
39,'2023/12/10 17:52:37:913',2,0.378087,-0.225202,0.342783,1.149015,-0.217303,0.075226,0.266024,0.22107,0.097244,0.007511,1.228943,-0.597369,-0.419321,0.330057,-0.924512,-0.408454,-0.519809,-0.120808,-0.771674,-0.680315,-0.048378,0.239483,0.451988,-0.177616,0.85856,-0.50914,0.79182,0.100324,0.344427,-0.353636,0.24776,-0.249541,0,0.46,0.44,0,0,0.46,0.46,0.68
40,'2023/12/10 17:52:38:013',2,0.28749,-0.103041,0.355473,1.052342,-0.294709,0.026717,0.285366,0.266327,-0.011342,0.261395,1.382452,-0.531786,-0.370848,0.517958,-0.880533,-0.442217,-0.44338,0.021193,-0.535984,-0.78411,-0.059603,0.145573,0.563158,-0.172344,0.878759,-0.807697,0.715483,0.201768,0.338472,-0.347633,0.216516,-0.295718,0,0.46,0.44,0,0,0.46,0.46,0.68
41,'2023/12/10 17:52:38:114',2,0.28749,-0.103041,0.355473,1.052342,-0.294709,0.026717,0.285366,0.266327,-0.011342,0.261395,1.382452,-0.531786,-0.370848,0.517958,-0.880533,-0.442217,-0.44338,0.021193,-0.535984,-0.78411,-0.059603,0.145573,0.563158,-0.172344,0.878759,-0.807697,0.715483,0.201768,0.338472,-0.347633,0.216516,-0.295718,0,0.46,0.44,0,0,0.46,0.46,0.68
42,'2023/12/10 17:52:38:214',2,0.311448,-0.32071,0.330917,1.070659,-0.149189,0.140854,0.270945,0.162725,-0.088576,0.234485,1.288549,-0.398484,-0.38379,0.496196,-0.877224,-0.394202,-0.491071,-0.003279,-0.601251,-0.485408,-0.059506,0.00934,0.538357,-0.14894,0.887007,-0.930297,0.729761,0.308586,0.215347,-0.32522,-0.014417,-0.305476,0,0.46,0.44,0,0,0.46,0.46,0.68
